record_number,normalized_year,vd17_id,title,Member_number_new,First_name_new,Last_name_new,Society_name_new,GND,role2,field_code,original_language,intermediary_language,publication_language,genre
9979,1673,23:302593F,"Deß @Königl. Frantzösischen Plenipotentiarii Memorial, Oder Klag-Schrifft/ An die Reichs Versamblung zu Regenspurg/ Uber die von Sr. Churfürstl. Durchl. zu Brandenburg im Reiche ergriffene Waffen",401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,lat,NA,ger,Streitschrift
32037,1667,1:719648K,Trost-Schreiben An Seine Churfürstliche Durchl. zu Brandenburg [et]c. Uber den Todesfall Dero Hochseligsten Gemahlin Churfl. Durchl.,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,fre,NA,ger,Gelegenheitsschrift
34481,1667,1:037893X,Trost-Schreiben An Seine Churfürstliche Durchl. zu Brandenburg [et]c. Uber den Todesfall Dero Hochseligsten Gemahlin Churfl. Durchl.,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,fre,NA,ger,Gelegenheitsschrift
38752,1666,39:166184T,Defensiv-Allianz Oder Schutz-Bündnüß So zwischen Sr. Churfürstl. Durchl. zu Brandenburg/ Als an einer Und Ihr. Hoch-Mög. den Herren GeneralStaten der Vereinigten Niederlande/ Als an der andern Seyte/ Zu Cleve/ am 6/16. Febr. dieses 1666.sten Jahrs/ abgehandelt/ beschlossen und unterschrieben worden,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,dut,NA,ger,Amtsdruckschrift
38752,1666,39:166184T,Defensiv-Allianz Oder Schutz-Bündnüß So zwischen Sr. Churfürstl. Durchl. zu Brandenburg/ Als an einer Und Ihr. Hoch-Mög. den Herren GeneralStaten der Vereinigten Niederlande/ Als an der andern Seyte/ Zu Cleve/ am 6/16. Febr. dieses 1666.sten Jahrs/ abgehandelt/ beschlossen und unterschrieben worden,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,dut,NA,ger,Vertrag
39185,1666,12:196473E,Tractat der Defensiv-Allianz So zwischen Den Durchläuchtigsten Fürsten und Herrn/ Den Herrn Churfürsten zu Brandenburg/ Eines und den Hochmögenden Herrn/ Herrn Staaten Generalen/ anderstheils bey jetzigen wehrenden Münsterischen Krieg eingegangen und beschlossen worden,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028G,dut,NA,ger,Flugschrift
39185,1666,12:196473E,Tractat der Defensiv-Allianz So zwischen Den Durchläuchtigsten Fürsten und Herrn/ Den Herrn Churfürsten zu Brandenburg/ Eines und den Hochmögenden Herrn/ Herrn Staaten Generalen/ anderstheils bey jetzigen wehrenden Münsterischen Krieg eingegangen und beschlossen worden,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028G,dut,NA,ger,Vertrag
45349,1664,32:631506G,Antwort-Schreiben Eines WohlEhrwürdigen Ministerii in der Freyen Reichsstadt Nürnberg/ an Ein auch WohlEhrwürdiges Ministerium in Berlin/ Betreffend die gebührende Bescheidenheit der Lutherischen Prediger auff der Cantzel in der Marck Brandenburg gegen die Reformirten/ wie auch den Gebrauch des Exorcismi bey der Tauffe/ und Sr. Churfürstl. Durchlaucht. hierüber ergangenen Befehl,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028G,lat,NA,ger,Brief
45349,1664,32:631506G,Antwort-Schreiben Eines WohlEhrwürdigen Ministerii in der Freyen Reichsstadt Nürnberg/ an Ein auch WohlEhrwürdiges Ministerium in Berlin/ Betreffend die gebührende Bescheidenheit der Lutherischen Prediger auff der Cantzel in der Marck Brandenburg gegen die Reformirten/ wie auch den Gebrauch des Exorcismi bey der Tauffe/ und Sr. Churfürstl. Durchlaucht. hierüber ergangenen Befehl,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028G,lat,NA,ger,Flugschrift
46016,1664,14:007999P,Rationes Dubitandi & Decidendi. Ob es Sr. Churfürstl. Durchl. zu Brandenburg zuträglich das Generalat des Römischen Reichs anzunehmen/ oder nicht?,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,fre,NA,ger,Flugschrift
63289,1660,14:001663F,Kurtzer Außzug des Processes/ Dessen Die Cron Schweden Gegen S. Churfürstl. Durchl. zu Brandenburg/ Wider den Friedenschluß ... bey Restitution der Hinterpommerischen Landen/ auff denen also genanten Stettinischen Grentz-Tractaten mit grosser Ungerechtigkeit und öffentlicher Gewalt sich gebrauchet,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,lat,NA,ger,Streitschrift
66006,1659,14:074288W,Copia Schreibens Sr. Churfürstl: Durchl: zu Brandenburg An Die Herren General Staten/ Benebenst dem Memorial Sr: Churfl. Durchl: Deputirten An Dieselbe,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,dut,NA,ger,Flugschrift
66006,1659,14:074288W,Copia Schreibens Sr. Churfürstl: Durchl: zu Brandenburg An Die Herren General Staten/ Benebenst dem Memorial Sr: Churfl. Durchl: Deputirten An Dieselbe,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,dut,NA,ger,Brief
66668,1659,14:074286F,Copia Schreibens Sr. Churfürstl. Durchl. zu Brandenburg An Die Herrn General Staten/ Benebenst dem Memorial Sr. Churfürstl. Durchl. Deputirten An dieselbe,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,dut,NA,ger,Brief
66668,1659,14:074286F,Copia Schreibens Sr. Churfürstl. Durchl. zu Brandenburg An Die Herrn General Staten/ Benebenst dem Memorial Sr. Churfürstl. Durchl. Deputirten An dieselbe,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,dut,NA,ger,Flugschrift
74129,1657,14:075758H,Poetisches Gebuhrts-Lob oder Lied/ Auff Des ... Herrn Friederich Wilhelms/ Marggraffen zu Brandenburg/ des Heiligen Römischen Reichs Ertz-Cämmerern und Chur-Fürsten ... Wie auch Der ... Frauen Loysen/ Marggräffinn- und Chur-Fürstinnen zu Brandenburg/ Gebohrnen Fürstinn von Uranien ... Beyder Hohen Eltern/ Seiner gnädigsten Herrschaft/ Dritt-gebohrnen Printzens Gebuhrt,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,lat,NA,ger,Gelegenheitsschrift
74129,1657,14:075758H,Poetisches Gebuhrts-Lob oder Lied/ Auff Des ... Herrn Friederich Wilhelms/ Marggraffen zu Brandenburg/ des Heiligen Römischen Reichs Ertz-Cämmerern und Chur-Fürsten ... Wie auch Der ... Frauen Loysen/ Marggräffinn- und Chur-Fürstinnen zu Brandenburg/ Gebohrnen Fürstinn von Uranien ... Beyder Hohen Eltern/ Seiner gnädigsten Herrschaft/ Dritt-gebohrnen Printzens Gebuhrt,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,lat,NA,ger,Lyrik
76889,1656,12:192672R,Copia Schreibens/ Welches Churfürstl. Durchl. zu Brandenb. An die Hochmögende Herren GeneralStaden der Vereinigten Nider-Lande/ den 4. Julii Anno 1656. abgehen lassen,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,dut,NA,ger,Amtsdruckschrift
77158,1656,3:005080F,Copia Schreibens: Welches Churfl. Durchl. zu Brandenb. An die Hochmögende Herren Gen. Staten der Vereinigten Nieder-Landen/ den 4. Iulii Anno 1656. abgehen lassen. Worin die Ursachen/ durch welche Churfürstliche Durchl. mit dem Könige in Schweden in einen ewigen Bund zutreten/ und dero Waffen zu coniungiren bewogen worden/ entdecket ... werden,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,dut,NA,ger,Amtsdruckschrift
77163,1656,14:074241S,Copia Eines Schreibens/ Welches Ihr. Churfl. Durchläuchtigk. zu Brandenburg/ etc. etc. An die Hochmögende Herren Staten Gener. der Vereinigten Nieder-Landen den 6. Iulii abgehen lassen/ Worinn Die Ursachen/ durch welche Se. Churfürstl. Durchl. mit dem Könige in Schweden in einen ewigen Bund zu treten/ und dero Waffen zu coniungiren bewogen worden/ entdecket ... werden,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,dut,NA,ger,Amtsdruckschrift
77164,1656,14:074235R,Copia Eines Schreibens/ Welches Churfürstl. Durchl. zu Brandenb: An die Hochmögende Herren Gen. Staten der Vereinigten Nieder-Landen den 6. Iulii abgehen lassen/ Worinn Die Ursachen/ durch welche Churfürstliche Durchläucht. mit dem Könige in Schweden in einen ewigen Bund zu treten/ und dero Waffen zu coniungiren bewogen worden/ entdecket ... werden,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,dut,NA,ger,Amtsdruckschrift
